<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.23	20:30:00	3782.32	3783.02	3777.25	3778.11	1146	0	5
2025.09.23	20:45:00	3778.19	3780.75	3775.79	3777.36	984	0	14
2025.09.23	21:00:00	3777.42	3781.38	3776.92	3777.61	969	0	13
2025.09.23	21:15:00	3777.75	3779.36	3777.73	3778.60	929	0	15
2025.09.23	21:30:00	3778.25	3781.05	3777.67	3780.44	864	0	5
2025.09.23	21:45:00	3780.37	3780.62	3756.27	3756.71	1165	0	7
2025.09.23	22:00:00	3756.94	3765.49	3755.45	3757.17	1323	0	10
2025.09.23	22:15:00	3757.39	3759.71	3751.75	3758.68	1251	0	6
2025.09.23	22:30:00	3758.70	3766.43	3758.70	3765.45	1187	0	7
2025.09.23	22:45:00	3765.32	3768.00	3764.00	3764.31	1158	0	5
2025.09.23	23:00:00	3764.34	3767.43	3763.80	3765.08	822	0	14
2025.09.23	23:15:00	3765.01	3765.41	3763.36	3765.10	611	0	5
2025.09.23	23:30:00	3765.05	3766.48	3763.53	3763.86	589	0	5
2025.09.23	23:45:00	3763.92	3764.75	3762.61	3764.02	580	0	12
2025.09.24	01:00:00	3766.10	3767.47	3764.35	3764.35	588	0	9
2025.09.24	01:15:00	3764.05	3764.69	3761.56	3762.05	584	0	10
2025.09.24	01:30:00	3762.07	3766.66	3762.07	3765.54	668	0	7
2025.09.24	01:45:00	3765.51	3765.96	3764.74	3765.48	429	0	15
2025.09.24	02:00:00	3765.49	3770.28	3765.12	3769.00	777	0	10
2025.09.24	02:15:00	3768.98	3769.61	3767.18	3769.54	735	0	7
2025.09.24	02:30:00	3769.52	3769.61	3761.92	3763.58	865	0	13
2025.09.24	02:45:00	3763.46	3764.21	3762.06	3763.90	813	0	12
2025.09.24	03:00:00	3764.17	3765.21	3758.90	3759.46	1046	0	12
2025.09.24	03:15:00	3759.44	3765.14	3758.92	3763.76	944	0	6
2025.09.24	03:30:00	3763.81	3765.09	3761.84	3763.17	923	0	8
2025.09.24	03:45:00	3763.13	3765.55	3761.70	3765.23	859	0	6
2025.09.24	04:00:00	3765.37	3771.85	3762.15	3763.60	1279	0	5
2025.09.24	04:15:00	3763.85	3764.10	3758.44	3758.95	1233	0	11
2025.09.24	04:30:00	3758.83	3760.75	3757.13	3760.11	1199	0	14
2025.09.24	04:45:00	3760.11	3760.84	3755.01	3756.58	1092	0	5
2025.09.24	05:00:00	3756.49	3757.02	3753.41	3753.50	1067	0	15
2025.09.24	05:15:00	3753.53	3755.25	3752.15	3752.74	973	0	13
2025.09.24	05:30:00	3752.72	3755.97	3750.74	3755.21	1063	0	12
2025.09.24	05:45:00	3755.31	3759.30	3754.02	3757.09	1046	0	13
2025.09.24	06:00:00	3757.11	3758.42	3752.37	3757.78	1119	0	15
2025.09.24	06:15:00	3757.74	3761.68	3757.05	3760.94	1016	0	15
2025.09.24	06:30:00	3760.89	3765.41	3760.26	3764.57	940	0	14
2025.09.24	06:45:00	3764.50	3766.59	3763.55	3765.45	859	0	15
2025.09.24	07:00:00	3765.42	3766.93	3765.22	3766.91	737	0	14
2025.09.24	07:15:00	3766.88	3767.68	3763.24	3764.98	897	0	6
2025.09.24	07:30:00	3764.90	3768.01	3764.68	3767.78	810	0	6
2025.09.24	07:45:00	3767.86	3768.30	3766.70	3768.23	712	0	13
2025.09.24	08:00:00	3768.17	3771.26	3767.88	3770.67	846	0	5
2025.09.24	08:15:00	3770.91	3773.41	3769.52	3772.23	890	0	14
2025.09.24	08:30:00	3772.28	3776.97	3771.49	3774.56	1130	0	10
2025.09.24	08:45:00	3774.60	3776.16	3772.60	3774.93	1035	0	11
2025.09.24	09:00:00	3775.01	3776.12	3772.15	3773.42	1010	0	5
2025.09.24	09:15:00	3773.38	3775.20	3769.18	3771.31	996	0	15
2025.09.24	09:30:00	3771.35	3773.26	3770.16	3772.04	1028	0	13
2025.09.24	09:45:00	3772.05	3774.79	3771.18	3771.24	936	0	8
2025.09.24	10:00:00	3771.49	3775.81	3770.70	3773.24	1025	0	15
2025.09.24	10:15:00	3773.11	3776.95	3772.37	3775.36	993	0	15
2025.09.24	10:30:00	3775.35	3779.21	3774.18	3777.43	966	0	13
2025.09.24	10:45:00	3777.48	3777.88	3776.05	3777.34	973	0	15
2025.09.24	11:00:00	3777.43	3777.71	3771.93	3772.46	1039	0	9
2025.09.24	11:15:00	3772.46	3774.52	3770.33	3770.47	1015	0	11
2025.09.24	11:30:00	3770.38	3771.56	3768.56	3769.34	929	0	5
2025.09.24	11:45:00	3769.29	3771.06	3767.07	3770.12	879	0	5
2025.09.24	12:00:00	3770.00	3771.70	3769.59	3769.73	845	0	5
2025.09.24	12:15:00	3769.74	3770.24	3767.23	3767.73	895	0	5
2025.09.24	12:30:00	3767.76	3769.54	3763.20	3767.82	1000	0	5
2025.09.24	12:45:00	3767.77	3768.93	3766.85	3768.54	815	0	5
2025.09.24	13:00:00	3768.43	3768.71	3764.07	3765.02	876	0	5
2025.09.24	13:15:00	3765.04	3765.63	3759.76	3764.04	1055	0	5
2025.09.24	13:30:00	3764.01	3765.38	3761.76	3762.84	897	0	5
2025.09.24	13:45:00	3762.70	3763.79	3760.23	3762.07	905	0	13
2025.09.24	14:00:00	3762.13	3763.84	3759.72	3763.20	985	0	5
2025.09.24	14:15:00	3763.03	3765.78	3763.03	3765.23	954	0	7
2025.09.24	14:30:00	3765.19	3768.85	3764.25	3768.25	965	0	5
2025.09.24	14:45:00	3768.29	3769.55	3767.53	3768.95	933	0	5
2025.09.24	15:00:00	3768.66	3771.05	3765.57	3766.35	1035	0	12
2025.09.24	15:15:00	3766.59	3771.28	3764.83	3767.53	1209	0	5
2025.09.24	15:30:00	3767.03	3767.53	3764.07	3765.33	1121	0	5
2025.09.24	15:45:00	3765.27	3769.98	3764.88	3768.04	1147	0	5
2025.09.24	16:00:00	3767.91	3771.47	3766.75	3771.47	1145	0	5
2025.09.24	16:15:00	3771.34	3773.05	3767.25	3767.45	1097	0	6
2025.09.24	16:30:00	3767.46	3768.26	3761.16	3762.62	1243	0	5
2025.09.24	16:45:00	3762.68	3765.50	3759.24	3761.28	1256	0	9
2025.09.24	17:00:00	3760.63	3764.84	3755.32	3759.78	1309	0	6
2025.09.24	17:15:00	3759.74	3762.49	3753.45	3758.90	1251	0	9
2025.09.24	17:30:00	3758.80	3760.04	3753.73	3755.30	1246	0	5
2025.09.24	17:45:00	3755.40	3757.11	3749.26	3752.69	1257	0	10
2025.09.24	18:00:00	3753.08	3756.04	3751.89	3754.43	1182	0	5
2025.09.24	18:15:00	3754.58	3756.60	3750.98	3751.02	1152	0	5
2025.09.24	18:30:00	3751.09	3751.58	3742.95	3745.46	1204	0	5
2025.09.24	18:45:00	3745.64	3746.12	3739.63	3741.23	1129	0	11
2025.09.24	19:00:00	3741.16	3745.24	3739.34	3741.01	1223	0	5
2025.09.24	19:15:00	3740.95	3743.15	3737.50	3742.05	1167	0	5
2025.09.24	19:30:00	3742.06	3743.01	3735.33	3738.49	1101	0	10
2025.09.24	19:45:00	3738.93	3738.96	3732.40	3735.83	1163	0	5
2025.09.24	20:00:00	3735.89	3738.77	3734.51	3738.49	1049	0	5
2025.09.24	20:15:00	3738.45	3738.65	3733.68	3734.80	1004	0	5
2025.09.24	20:30:00	3734.74	3735.14	3733.12	3733.52	829	0	12
2025.09.24	20:45:00	3733.54	3735.30	3732.43	3733.23	798	0	7
2025.09.24	21:00:00	3732.93	3733.92	3727.81	3730.19	1041	0	16
2025.09.24	21:15:00	3730.28	3730.84	3726.57	3729.03	959	0	5
2025.09.24	21:30:00	3729.11	3731.16	3727.53	3728.23	917	0	9
2025.09.24	21:45:00	3728.23	3728.64	3722.66	3724.08	1045	0	5
2025.09.24	22:00:00	3724.40	3724.41	3718.64	3720.25	1149	0	10
2025.09.24	22:15:00	3720.24	3721.41	3717.48	3718.36	1001	0	8
2025.09.24	22:30:00	3718.49	3727.57	3718.39	3727.38	1093	0	5
2025.09.24	22:45:00	3727.36	3731.90	3727.20	3730.11	1051	0	13
2025.09.24	23:00:00	3730.07	3732.52	3730.02	3732.38	675	0	15
2025.09.24	23:15:00	3732.37	3732.42	3730.87	3731.97	568	0	15
2025.09.24	23:30:00	3731.96	3736.69	3731.66	3736.55	602	0	5
2025.09.24	23:45:00	3736.56	3737.33	3735.48	3735.85	537	0	15
2025.09.25	01:00:00	3737.02	3740.46	3737.02	3739.58	779	0	15
2025.09.25	01:15:00	3740.13	3745.28	3740.12	3744.85	804	0	5
2025.09.25	01:30:00	3744.84	3744.84	3739.55	3741.48	880	0	5
2025.09.25	01:45:00	3741.48	3743.00	3740.65	3741.13	622	0	10
2025.09.25	02:00:00	3741.11	3742.21	3739.08	3741.73	745	0	5
2025.09.25	02:15:00	3741.76	3741.91	3739.61	3739.61	541	0	15
2025.09.25	02:30:00	3739.73	3742.35	3739.73	3741.99	617	0	5
2025.09.25	02:45:00	3741.94	3745.24	3741.83	3742.98	1029	0	6
2025.09.25	03:00:00	3742.99	3750.11	3741.55	3749.99	1296	0	5
2025.09.25	03:15:00	3749.95	3751.19	3748.34	3750.49	1214	0	5
2025.09.25	03:30:00	3750.48	3751.58	3746.70	3748.07	1080	0	7
2025.09.25	03:45:00	3748.07	3750.38	3747.06	3748.99	981	0	6
2025.09.25	04:00:00	3749.01	3750.47	3740.80	3741.35	1466	0	10
2025.09.25	04:15:00	3741.31	3747.04	3740.57	3744.29	1299	0	5
2025.09.25	04:30:00	3744.29	3744.39	3737.46	3738.35	1372	0	7
2025.09.25	04:45:00	3738.37	3741.05	3732.85	3736.10	1399	0	5
2025.09.25	05:00:00	3736.04	3736.29	3729.28	3732.72	1415	0	6
2025.09.25	05:15:00	3732.72	3735.70	3731.76	3735.60	1010	0	9
2025.09.25	05:30:00	3735.52	3742.27	3735.52	3742.16	1229	0	5
2025.09.25	05:45:00	3742.15	3742.40	3736.38	3739.57	1139	0	6
2025.09.25	06:00:00	3739.54	3739.64	3734.48	3735.17	1107	0	5
2025.09.25	06:15:00	3735.17	3737.29	3734.65	3735.71	1015	0	9
2025.09.25	06:30:00	3735.72	3739.15	3734.84	3739.09	997	0	5
2025.09.25	06:45:00	3739.09	3739.13	3734.49	3736.67	892	0	15
2025.09.25	07:00:00	3736.67	3736.67	3732.42	3732.49	916	0	13
2025.09.25	07:15:00	3732.52	3735.50	3731.71	3734.12	844	0	13
