date,time,open,high,low,close,tickvol,volume,spread,timestamp,ema20,ema50,atr,vwap
2025.10.14,02:29:00,24742.2,24743.4,24740.4,24743.0,71,0,100,2025-10-14 02:29:00,24743.105616759487,24742.273239668863,4.321428571428312,24672.54417525642
2025.10.14,02:30:00,24743.2,24743.7,24740.7,24741.3,99,0,100,2025-10-14 02:30:00,24742.933653258584,24742.23507340734,3.799999999999792,24672.56149502938
2025.10.14,02:31:00,24742.2,24742.5,24740.2,24740.7,88,0,100,2025-10-14 02:31:00,24742.720924376816,24742.17487445019,3.6071428571425974,24672.576748741405
2025.10.14,02:32:00,24740.7,24740.9,24734.7,24740.8,129,0,100,2025-10-14 02:32:00,24742.53797919807,24742.120957805088,3.7571428571424934,24672.599129762533
2025.10.14,02:33:00,24742.2,24743.2,24740.0,24743.0,97,0,100,2025-10-14 02:33:00,24742.581981179206,24742.155430048027,3.657142857142649,24672.616491789195
2025.10.14,02:34:00,24743.2,24743.8,24737.9,24738.4,80,0,100,2025-10-14 02:34:00,24742.183697257376,24742.008158281442,3.6142857142853506,24672.629869116405
2025.10.14,02:35:00,24738.3,24738.3,24733.5,24734.0,88,0,100,2025-10-14 02:35:00,24741.40429751858,24741.69411285864,3.7142857142854546,24672.64359388144
2025.10.14,02:36:00,24733.8,24734.8,24725.9,24730.2,143,0,100,2025-10-14 02:36:00,24740.33722156443,24741.243363334772,4.149999999999636,24672.664503066306
2025.10.14,02:37:00,24730.3,24733.2,24729.4,24732.7,84,0,100,2025-10-14 02:37:00,24739.609867129722,24740.908329478505,4.028571428571013,24672.677311679938
2025.10.14,02:38:00,24732.5,24733.7,24731.0,24732.2,71,0,100,2025-10-14 02:38:00,24738.90416549832,24740.5668263617,3.8642857142853506,24672.688043596958
2025.10.14,02:39:00,24731.9,24732.2,24727.2,24727.5,63,0,100,2025-10-14 02:39:00,24737.81805449848,24740.054401798498,4.02142857142826,24672.696811238744
2025.10.14,02:40:00,24728.0,24729.8,24725.8,24729.4,131,0,100,2025-10-14 02:40:00,24737.016335022436,24739.636582120125,4.128571428571116,24672.715665142918
