time,symbol,signal,fvg_zone,liquidity_grab,order_block
2025-09-19 21:38:08,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:38:13,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:38:18,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:38:19,GBPUSD,sell,1.3468,1.34695,1.3465
2025-09-19 21:38:24,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:38:29,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:38:34,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:38:39,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:38:44,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:38:49,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:38:54,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:38:59,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:39:04,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:39:09,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:39:14,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:39:19,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:39:24,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:39:29,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:39:34,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:39:39,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:39:44,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:39:50,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:39:55,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:00,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:05,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:10,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:15,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:20,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:25,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:30,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:35,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:40,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:45,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:50,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:55,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:41:00,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:41:05,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:41:10,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:41:13,GBPUSD,sell,1.3468,1.34695,1.3465
2025-09-19 21:41:18,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:41:24,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
